Sort_Order,Full_Species,Species_ID,Species_ID_Prev,Parent_ID,English_Name,French_Name,Spanish_Name,Scientific_Name,MBCA_2013,CDN_Status,AviBase_Status,Prev_CND_Status,WildSpecies2010,Origin,Family_Sci,Family_Sci_FR,Family_CmName_EN,Family_CmName_FR,Subfamily,Order,Previous_Sci_Name,Previous_EN_Name,Previous_FR_Name,Technical_Committees,Inland_and_Marsh_Waterbirds_SubTC,Seabirds_SubTC,Alpha_Code_BBL,Alpha_Code_FR,BBL_Number,BBS_Number,,,,
22.1,No,ACGO,CACG_ALE,CACG,Cackling Goose - Aleutian race,Bernache de Hutchins (race des Aléoutiennes),,Branta hutchinsii leucopareia,,RNB,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,Branta canadensis,Canada Goose,,WF,No,No,ACGO,,1721,,,,,
22.2,No,MCGO,CACG_CAC,CACG,Cackling Goose - Cackling or Minima form,Bernache de Hutchins,,Branta hutchinsii minima,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,Branta canadensis minima,Canada Goose,,WF,No,No,,,,,,,,
22.3,No,CACG_STG,,CACG,Cackling Goose - Shortgrass Prairie population and Tallgrass Prairie population,Bernache de Hutchins des prairies à herbes courtes et des prairies à herbes hautes,,Branta hutchinsii hutchinsii,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,Branta canadensis hutchinsii,Canada Goose,,WF,No,No,,,,,,,,
22.4,No,CACG_TAV,,CACG,Cackling Goose - Taverner's population,Bernache de Hutchins,,Branta hutchinsii taverneri,,RNB,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,Branta canadensis taverneri,Canada Goose,,WF,No,No,,,,,,,,
23,Yes,CANG,CAGO,,Canada Goose,Bernache du Canada,Ganso Canadiense,Branta canadensis,Yes,BRE,Nesting,,Secure,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,CAGO,BECA,1720,01720,,,,
23.1,No,CANG_AFR,,CANG,Canada Goose - Atlantic Flyway Resident population,Bernache du Canada,,Branta canadensis,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,CAGO,,1720,,,,,
23.2,No,CANG_ATL,,CANG,Canada Goose - Atlantic population,Bernache du Canada de l'Atlantique,,Branta canadensis interior,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,CAGO,,1720,,,,,
23.3,No,CANG_DUS,,CANG,Canada Goose - Dusky population,Bernache du Canada,,Branta canadensis,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,CAGO,,1720,,,,,
23.4,No,CANG_EPR,,CANG,Canada Goose - Eastern Prairie population,Bernache du Canada de l'est des Prairies,,Branta canadensis interior,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,CAGO,,1720,,,,,
23.5,No,CANG_LES,,CANG,Canada Goose - Lesser population,Bernache du Canada,,Branta canadensis parvipes,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,CAGO,,1720,,,,,
23.6,No,CANG_MFG,,CANG,Canada Goose - Mississippi Flyway Giant population,Bernache du Canada,,Branta canadensis,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,CAGO,,1720,,,,,
23.7,No,CANG_MVA,,CANG,Canada Goose - Mississippi Valley population,Bernache du Canada - population de la vallée du Mississippi,,Branta canadensis interior,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,CAGO,,1720,,,,,
23.8,No,CANG_NAT,,CANG,Canada Goose - North Atlantic population,Bernache du Canada - population de l'Atlantique Nord,,Branta canadensis canadensis,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,CAGO,,1720,,,,,
23.9,No,CANG_PAC,,CANG,Canada Goose - Pacific population,Bernache du Canada - population du Pacifique,,Branta canadensis,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,CAGO,,1720,,,,,
23.91,No,CANG_SJB,,CANG,Canada Goose - Southern James Bay population,Bernache du Canada - population du sud de la baie James,,Branta canadensis interior,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,CAGO,,1720,,,,,
23.92,No,CANG_PTB,,CANG,Canada Goose - Prairies Temperate Breeders,Bernache du Canada,,Branta canadensis moffitti/maxima,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,,,,,,,,
23.93,No,CANG_QTB,,CANG,Canada Goose - Quebec Temperate Breeders,Bernache du Canada,,Branta canadensis,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,,,,,,,,
23.94,No,CANG_OTB,,CANG,Canada Goose - Ontario Temperate Breeders,Bernache du Canada,,Branta canadensis,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,,,,,,,,
23.95,No,CANG_MTB,,CANG,Canada Goose - Maritimes Temperate Breeders,Bernache du Canada,,Branta canadensis,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,,,,,,,,
23.96,No,CANG_BCB,,CANG,Canada Goose - Southern British Columbia Temperate Breeders,Bernache du Canada,,Branta canadensis,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,CAGO,,1720,,,,,
23.97,No,CANG_TBP,,CANG,Canada Goose - Temperate Breeding Populations,Bernache du Canada - populations se reproduisant en zone tempérée,,Branta canadensis,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,,,,,,,,
23.98,No,UNDG,,,Domestic goose,Oie domestique,,,No,BRE,,,,DOM,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,,No,No,,,,,,,,
23.99,No,OHGO,,,Goose hybrid - other,Oie hybride - autre,,,No,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,,No,No,OHGO,,1716,,,,,
24,Yes,HAGO,,,Hawaiian Goose,Bernache néné,Barnacla Nené,Branta sandvicensis,No,DNO,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,Nene,,,No,No,HAGO,,1751,01751,,,,
25,Yes,MUSW,,,Mute Swan,Cygne tuberculé,Cisne Vulgar,Cygnus olor,Yes,BRE,Introduced and established,,Exotic,INT,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,MUSW,CYTU,1782,01782,,,,
26,Yes,TRUS,,,Trumpeter Swan,Cygne trompette,Cisne Trompetero,Cygnus buccinator,Yes,BRE,Nesting,,Secure,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,TRUS,CYTR,1810,01810,,,,
26.1,No,TRUS_ROC,,TRUS,Trumpeter Swan - Rocky Mountain population,Cygne trompette des Montagnes Rocheuses,,Cygnus buccinator,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,TRUS,,1810,,,,,
26.2,No,TRUS_INT,,TRUS,Trumpeter Swan - Interior population,Cygne trompette,,Cygnus buccinator,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,TRUS,,1810,,,,,
26.3,No,TRUS_PAC,,TRUS,Trumpeter Swan - Pacific Coast population,Cygne trompette de la côte du Pacifique,,Cygnus buccinator,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,TRUS,,1810,,,,,
27,Yes,TUSW,,,Tundra Swan,Cygne siffleur,Cisne de Tundra,Cygnus columbianus,Yes,BRE,Nesting,,Secure,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,,CYSI,,01800,,,,
27.1,No,TUSW_EAS,,TUSW,Tundra Swan - Eastern population,Cygne siffleur de l'est,,Cygnus columbianus,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,,,,,,,,
27.2,No,TUSW_WES,,TUSW,Tundra Swan - Western population,Cygne siffleur de l'ouest,,Cygnus columbianus,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,,WF,No,No,,,,,,,,
28,Yes,WHOS,,,Whooper Swan,Cygne chanteur,Cisne Cantor,Cygnus cygnus,No,ACC,Accidental,,Accidental,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anserinae,Anseriformes,,,Cygne sauvage,WF,No,No,WHOS,,1790,01790,,,,
29,Yes,CODU,,,Comb Duck,Canard à bosse,Pato Crestudo,Sarkidiornis melanotos,No,DNO,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Tadorninae,Anseriformes,,,,,No,No,,,,,,,,
30,Yes,ORGO,,,Orinoco Goose,Ouette de l'Orénoque,Ganso del Orinoco,Neochen jubata,No,DNO,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Tadorninae,Anseriformes,,,,,No,No,,,,,,,,
30.5,Yes,EGGO,,,Egyptian Goose,Ouette d'Égypte,Ganso del Nilo,Alopochen aegyptiaca,No,DNO,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Tadorninae,Anseriformes,,,,,No,No,,,,20630,,,,
31,Yes,MUDU,,,Muscovy Duck,Canard musqué,Pato Real,Cairina moschata,No,DNO,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anatinae,Anseriformes,,,,,No,No,MUDU,,1441,10210,,,,
32,Yes,WODU,,,Wood Duck,Canard branchu,Pato Arcoiris,Aix sponsa,Yes,BRE,Nesting,,Secure,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anatinae,Anseriformes,,,,WF,No,No,WODU,CABR,1440,01440,,,,
32.1,No,WODU_EAS,,WODU,Wood Duck - Eastern population,Canard branchu de l'est,,Aix sponsa,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anatinae,Anseriformes,,,,WF,No,No,WODU,,1440,01440,,,,
32.2,No,WODU_WES,,WODU,Wood Duck - Western population,Canard branchu de l'ouest,,Aix sponsa,,BRE,,,,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anatinae,Anseriformes,,,,WF,No,No,WODU,,1440,01440,,,,
33,Yes,GADW,,,Gadwall,Canard chipeau,Pato Friso,Anas strepera,Yes,BRE,Nesting,,Secure,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anatinae,Anseriformes,,,,WF,No,No,GADW,CACH,1350,01350,,,,
34,Yes,FADU,,,Falcated Duck,Canard à faucilles,Cerceta de Alfanjes,Anas falcata,No,ACC,Accidental,,Accidental,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anatinae,Anseriformes,,Falcated Teal,Sarcelle à faucilles,WF,No,No,FATE,,1371,01371,,,,
35,Yes,EUWI,,,Eurasian Wigeon,Canard siffleur,Pato Silbón,Anas penelope,Yes,RNB,Migrant or winter visitor,,Secure,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anatinae,Anseriformes,,,Canard siffleur d'Europe,WF,No,No,EUWI,,1360,01360,,,,
36,Yes,AMWI,,,American Wigeon,Canard d'Amérique,Pato Chalcuán,Anas americana,Yes,BRE,Nesting,,Secure,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anatinae,Anseriformes,,,Canard siffleur d'Amérique,WF,No,No,AMWI,CAAM,1370,01370,,,,
37,Yes,ABDU,,,American Black Duck,Canard noir,Anade Sombrío,Anas rubripes,Yes,BRE,Nesting,,Secure,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anatinae,Anseriformes,,,,WF,No,No,ABDU,CANO,1330,01330,,,,
38,Yes,MALL,,,Mallard,Canard colvert,Pato de Collar,Anas platyrhynchos,Yes,BRE,Nesting,,Secure,,Anatidae,Anatidés,"Ducks, Geese, Swans","Canards, oies, cygnes",Anatinae,Anseriformes,,,,WF,No,No,MALL,CACO,1320,01320,,,,
